value,command,name,timeStamp,asResponse,actuatorType,timeStampMillis,stateData,hasError,statusCode
35.0,1,HumidifierActuator,"2020-12-12 :06:50:24",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:50:29",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:50:34",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:50:39",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:50:44",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:50:49",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:50:54",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:50:59",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:51:04",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:51:09",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:51:14",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:51:19",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:51:24",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:51:29",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:51:34",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:51:39",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:51:44",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:51:49",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:51:54",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:51:59",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:52:04",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:52:09",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:52:14",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:52:19",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:52:24",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:52:29",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:52:34",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:52:39",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:52:44",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:52:49",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:52:54",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:52:59",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:53:04",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:53:09",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:53:14",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:53:19",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:53:24",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:53:29",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:53:34",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:53:39",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:53:44",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:53:49",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:53:54",false,2,0,"Commond on",,0
